"Key Question","KLOE","Ref","Checklist Item"
"Caring","Person-centred care","CAR-PC-01","People are at the centre of how their care, support and treatment is delivered. Care is tailored to the individual and is not task-focused."
"Caring","Person-centred care","CAR-PC-02","Staff treat people as individuals, considering any relevant protected equality characteristics and ensuring their personal, cultural, social, spiritual and religious needs are understood and met."
"Caring","Independence, choice and control","CAR-IC-01","People have choice and control over their own care and are empowered to make decisions about their care, support, treatment and wellbeing."
"Responsive","Care provision, integration and continuity","RES-TP-01","The service understands the diverse needs of the people who use it and tailors their support accordingly. This includes recognising and responding to the needs of people with protected equality characteristics and those most at risk of experiencing poorer care or facing barriers to accessing care."
"Responsive","Listening to and responding to feedback","RES-CF-01","People and those close to them understand how to give feedback, make suggestions or complain about care, support and treatment. They can do this in a way that meets their needs."
"Responsive","Timely and equitable access","RES-TA-01","People can access care, support and treatment, including physically, when they need it and in a way that works for them, which promotes equality, removes barriers or delays and protects their rights."
"Responsive","Timely and equitable access","RES-TA-02","Reasonable adjustments are understood and made to ensure equal access to the service for all. This removes barriers for people who find it hard to access services."
"Responsive","Equity in experiences","RES-EE-01","Leaders and staff work collaboratively to achieve equity. They do this by recognising barriers, collecting and acting on evidence, including people's experiences, and allocating resources to reduce barriers and improve this."
"Responsive","Equity in experiences","RES-EE-02","Interpreting and translation are provided or accessed for people who don't speak English as a first language and for people who use British Sign Language."
"Well-led","Strategic direction","WEL-SD-01","The values of the service are clear, understood and supported by staff. They are demonstrated through the behaviour of leaders and in practices within the service. They include key principles such as openness, involvement, respect, human rights, inclusion, diversity and equality."
"Well-led","Strategic direction","WEL-SD-02","Leaders learn from staff who work directly with people, to build trust and mutual understanding. Feedback is valued and used to track progress, shape priorities and drive improvements."
"Well-led","Workforce equity and culture","WEL-WE-01","The service is committed to workforce equality, understands equity and proactively works to promote equality, diversity and inclusion. Wellbeing, inclusion, trust and open communication are embedded in the culture of the service."
"Well-led","Workforce equity and culture","WEL-WE-02","Staff and volunteers are actively encouraged to give feedback, raise concerns, and contribute to improvements through formal speaking up processes. They are confident that they will be treated with compassion and understanding, and will not be blamed, or treated negatively if they do so - including in relation to issues of racism and discrimination."
"Well-led","Capable and compassionate leaders","WEL-CL-01","Where required, there is a registered manager in post. They understand their responsibilities and are supported by the board, trustees or directors and other managers to deliver good, effective, high-quality care."
"Well-led","Capable and compassionate leaders","WEL-CL-02","Leaders are knowledgeable about issues and priorities that affect the quality of the service and have access to appropriate development in their role. They seek support or independent scrutiny where required."
"Well-led","Governance and management","WEL-GM-01","There are clear and effective governance, management and accountability arrangements. Staff understand their roles and responsibilities. Managers can account for the actions, behaviours and performance of staff."
"Well-led","Governance and management","WEL-GM-02","There are effective systems for monitoring and managing service performance, risk and learning from incidents that support innovation while maintaining the quality of care at the service."
"Well-led","Governance and management","WEL-GM-03","There are secure and reliable arrangements for the availability, integrity and confidentiality of data, records and data management systems. Information is used effectively to monitor and improve the quality of care. Staff understand their responsibilities when collecting and sharing information."
"Well-led","Partnerships and communities","WEL-PC-01","The service maintains positive relationships with the local community and works well with community partners."
"Well-led","Partnerships and communities","WEL-PC-02","Staff and leaders work in partnership with people and other organisations, so that services work as seamlessly as possible for people."
"Well-led","Improvement, innovation and learning","WEL-IL-01","Staff and leaders understand how to drive improvement through consistent approaches that enable the right environment for improvement, measuring outcomes and impact."
"Well-led","Improvement, innovation and learning","WEL-IL-02","Leaders foster a culture of trust by encouraging staff to speak up with ideas for improvement and innovation, and by actively investing time to listen and engage."
